0,1,2,3,4,5,6,7,8,9
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %,Estado
PMGD PFV Penaflor,0.00,0.00,,,PMGD PFV Ratulemus,19.90,16.74,-15.88 %,
PMGD PFV Pencahue,40.17,38.03,-5.33 %,,PMGD PFV Rauquen,47.41,67.10,41.53 %,
PMGD PFV Pencahue Este,20.15,18.45,-8.44 %,,PMGD PFV Rcu,36.30,43.08,18.68 %,
PMGD PFV Pepa,81.90,69.50,-15.14 %,,PMGD PFV Recoleta,37.83,37.20,-1.67 %,
PMGD PFV Pequen,18.29,22.46,22.80 %,,PMGD PFV Rengo,51.52,55.79,8.29 %,
PMGD PFV Peralillo,0.00,0.00,,,PMGD PFV Rexner,19.06,19.07,0.05 %,
PMGD PFV Perla del Norte,60.42,86.68,43.46 %,,PMGD PFV Rimini,72.20,69.56,-3.66 %,
PMGD PFV Perséfone,30.77,34.08,10.76 %,,PMGD PFV Rinconada,51.77,62.70,21.11 %,
PMGD PFV Pesaro,21.48,21.86,1.77 %,,PMGD PFV Rinconada,,,,
,,,,,,71.33,82.13,15.14 %,
,,,,,Alcones,,,,
PMGD PFV Pica,0.00,0.00,,,,,,,
,,,,,PMGD PFV Rinconada,,,,
,,,,,,25.20,25.32,0.48 %,
PMGD PFV Pichon,12.88,13.05,1.32 %,,Norte,,,,
PMGD PFV Picunche,66.13,68.59,3.72 %,,PMGD PFV Rita del Maitén,0.00,18.57,,
PMGD PFV Piduco,23.28,22.22,-4.55 %,,PMGD PFV Rodeo,16.26,15.91,-2.15 %,
PMGD PFV Pilpilen,17.70,19.37,9.44 %,,PMGD PFV Roma,12.97,20.44,57.59 %,
PMGD PFV Piquero,81.27,85.36,5.03 %,,PMGD PFV Romeria,0.00,0.00,,
PMGD PFV Pirincho Solar,0.00,0.01,,,PMGD PFV Rosario,8.61,41.65,383.74 %,
PMGD PFV Pirque,18.70,22.19,18.66 %,,PMGD PFV Rovián,44.90,46.56,3.70 %,
PMGD PFV Pitotoy,15.37,17.65,14.83 %,,PMGD PFV Rucapaine,76.75,75.52,-1.60 %,
PMGD PFV Pitra,22.78,23.37,2.59 %,,PMGD PFV Río Peuco,19.93,20.71,3.91 %,
PMGD PFV Placilla,45.54,66.21,45.39 %,,PMGD PFV S. Antonio,,,,
,,,,,,59.02,58.53,-0.83 %,
,,,,,Monte,,,,
PMGD PFV Playerito,20.87,18.61,-10.83 %,,,,,,
,,,,,PMGD PFV S. Francisco,,,,
,,,,,,15.11,0.00,-100.00 %,
PMGD PFV Playero,21.70,18.27,-15.81 %,,Parral,,,,
PMGD PFV Playeron,19.91,17.67,-11.25 %,,PMGD PFV SDSI,22.10,19.39,-12.26 %,
PMGD PFV Plaza Sunlight,72.65,63.13,-13.10 %,,PMGD PFV SF Fortuna 15,0.00,14.46,,
PMGD PFV Plomo Verano,20.41,19.51,-4.41 %,,PMGD PFV SGT Catapilco,47.80,74.63,56.13 %,
PMGD PFV Población,18.80,20.36,8.30 %,,PMGD PFV SGT Tucapel,38.48,44.67,16.09 %,
PMGD PFV Pocillas,16.12,13.71,-14.95 %,,PMGD PFV SLK CB Nueve,21.17,21.24,0.33 %,
