0,1,2,3,4,5,6,7,8
Central,Prog.,Real,Desv. %,Estado,Central,Prog.,Real,Desv. %
PMGD TER Diésel Colaco,,,,,PMGD TER Salmofood,0.00,0.00,
,0.00,0.00,,,,,,
Pargua,,,,,,,,
,,,,,PMGD TER Santa Irene,0.00,0.00,
PMGD TER Don Pedro,0.00,0.00,,,,,,
,,,,,PMGD TER Sepultura,0.00,0.00,
PMGD TER Doña Javiera,0.00,0.00,,,,,,
,,,,,PMGD TER Tamm,0.00,0.00,
PMGD TER Egido,0.00,0.00,,,,,,
,,,,,PMGD TER Tapihue,0.00,0.00,
PMGD TER El Campesino,0.00,0.00,,,,,,
,,,,,PMGD TER Tigre,0.00,0.00,
PMGD TER El Canelo,0.00,0.00,,,,,,
,,,,,PMGD TER Tirúa,0.00,0.39,
PMGD TER El Canelo II,0.00,0.00,,,,,,
,,,,,PMGD TER Tomaval,0.00,0.00,
PMGD TER El Faro,0.00,0.00,,,,,,
,,,,,PMGD TER Trebal Mapocho,0.00,0.00,
PMGD TER El Jardin,0.00,0.00,,,,,,
,,,,,PMGD TER,,,
,,,,,,0.00,0.27,
PMGD TER El Molle,0.00,50.58,,,TrongolCuranilahue,,,
PMGD TER El Nogal,0.00,0.00,,,PMGD TER Yumbel,0.00,0.00,
PMGD TER Ermitaño,0.00,0.00,,,PMGD TER Zapallar,0.00,0.00,
PMGD TER Estancilla,0.00,0.00,,,PMGD TER Zofri,0.00,0.00,
,,,,,TOTAL,"22,322.44","23,005.69",3.06 %
PMGD TER Estandartes,0.00,0.00,,,,,,
PMGD TER Etersol,0.00,0.00,,,,,,
PMGD TER Exequiel,,,,,,,,
,0.00,0.00,,,,,,
Fernández,,,,,,,,
PMGD TER Gami,0.00,0.00,,,,,,
PMGD TER HBS,0.00,0.00,,,,,,
PMGD TER HBS GNL,0.00,0.00,,,,,,
PMGD TER Holley,0.00,0.00,,,,,,
PMGD TER La Gloria-21,0.00,0.00,,,,,,
PMGD TER Lagunitas,0.00,0.00,,,,,,
PMGD TER Las Dalias,0.00,0.00,,,,,,
PMGD TER Las Pampas,0.00,0.00,,,,,,
PMGD TER Lebu,0.00,0.00,,,,,,
PMGD TER Lepanto,0.00,0.00,,,,,,
PMGD TER Lipigas Concón,0.00,0.00,,,,,,
PMGD TER Lomas,,,,,,,,
,0.00,0.00,,,,,,
Coloradas,,,,,,,,
PMGD TER Lonquimay,0.00,0.00,,,,,,
PMGD TER Los Pinos,0.00,28.22,,,,,,
PMGD TER Los Sauces,0.00,0.00,,,,,,
PMGD TER Los Álamos,0.00,0.00,,,,,,
PMGD TER Louisiana,,,,,,,,
,0.00,0.00,,,,,,
Pacific,,,,,,,,
PMGD TER Lousiana Pacific,,,,,,,,
,0.00,0.00,,,,,,
II,,,,,,,,
PMGD TER Mayor Power,0.00,0.00,,,,,,
PMGD TER Mimbre,0.00,0.00,,,,,,
PMGD TER Monte Patria,0.00,0.00,,,,,,
PMGD TER Multiexport,0.00,0.00,,,,,,
PMGD TER Multiexport II,0.00,0.00,,,,,,
PMGD TER Orafti,0.00,0.00,,,,,,
PMGD TER PRP Campesina,0.00,0.00,,,,,,
PMGD TER PRP Chifin,0.00,0.00,,,,,,
PMGD TER PRP Las,,,,,,,,
,0.00,0.00,,,,,,
Quemas,,,,,,,,
PMGD TER PRP Los Negros,0.00,0.00,,,,,,
PMGD TER PRP Marver,0.00,0.00,,,,,,
PMGD TER PRP Melipulli,0.00,0.00,,,,,,
PMGD TER PRP Tambores,0.00,0.00,,,,,,
PMGD TER Pinares,0.00,0.00,,,,,,
PMGD TER Punitaqui,0.00,0.00,,,,,,
PMGD TER Quitralman,0.00,0.00,,,,,,
PMGD TER Ramadilla,0.00,0.00,,,,,,
PMGD TER Rapaco,0.00,0.00,,,,,,
PMGD TER Raso Power,0.00,0.00,,,,,,
PMGD TER Rey,0.00,0.00,,,,,,
PMGD TER Río Azul,0.00,0.00,,,,,,
