0,1,2
,,ANTECEDENTES DE LA OPERACIÓN DIARIA SEN
4.1 Observaciones,,
Hora,Centro de Control,Observación
,,"Cs. PE Ckhuri, PFV Loma Los Colorados, PE Lebu (Ampliación de 6,5 a 10 MW), Dos Valles, El Pinar U-1, PE Antofagasta, BESS Bolero, PFV Andes III, BESS"
00:00,CDC,"Andes III y PFV Víctor Jara y BESS Víctor Jara, PFV Estepa Solar, BESS Estepa Solar, BESS Huatacondo, PFV Gabriela, BESS Gabriela, BESS Arena y BESS"
,,"Libélula, continúan en período de puesta en servicio."
00:00,Colbún,C. Colbún se declara en condición de agotamiento con una cota de 420.18 m.s.n.m. y un gasto de 153 MWh.
00:00,Enel Generación,C. Rapel se declara en condición de agotamiento con una cota de 103.34 m.s.n.m. y un gasto de 2 MWh.
,,"C. Los Vientos con limitación. Causa informada: Sin disponibilidad de gas GN_A por encontrarse programada fuera del horario de renominación, según IL"
00:00,Gen. Metropolitana,
,,2026000653.
00:09,RNE,"C. Nueva Ventanas sin limitación a participar en el CSF, cancelada IL 2026000652"
00:18,STS,S/E Castro transformador 1 de 115/24 kV y 16 MVA cancelada solicitud de intervención de curso forzoso. Cancela SICF 2026026548.
,,C. Santa María limitada a 160 MW con solicitud de intervención de curso forzoso. Causa informada: Se requiere limitar la Unidad en 160 MW por falla en
01:48,Colbún,
,,"válvula de relleno de agua al condensador, según SICF 2026027576."
03:01,Enor Chile,"C. PFV Quilmo indisponible, según IF 2026001704."
,,"S/E Montenegro Barra de 66 kV interrupción forzada por protecciones, se pierden 9 MW de consumos correspondientes a SS/EE Monte Negro, Lucero,"
03:01,STS,
,,"Larqui, Quilmo y Quilmo II, según IF 2026001687."
,,"S/E Chillán interruptor 52B3 de línea de 66 kV Chillán - Lucero cerrado, se recuperan los consumos correspondientes a SS/EE Lucero, Larqui, Quilmo y"
03:06,CGE - Transmisión,
,,"Quilmo II,"
03:15,STS,S/E Montenegro Alimentador San Ignacio ( Frontel ) normalizados consumos por red de MT.
05:00,Copelec,"S/E Montenegro Alimentador Contón normalizado consumos por red de MT, quedando el 100 % de los consumos normalizados."
05:03,Colbún,"C. PE San Juan limitado en 173 MW. Causa informada: Falla en los circuitos de los alimentadores 52A2 y 52 A4, según IL 2026000654."
06:00,Gen. Metropolitana,"C. Los Vientos sin limitación, cancelada IL 2026000653."
,,C. Nueva Renca limitada. Causa informada: Disponibilidad de combustible de gas argentino (Interrumpible) GN_B de 0 m3 desde las 06:00 hrs del día
06:00,Gen. Metropolitana,
,,"operativo gas 17/12/2026 (hasta las 5:59 hrs del 18/03/2026) debido a no confirmación del proveedor, según IL 2026000651. Cancelada 2026000637."
