0,1,2,3
,INDISPONIBILIDAD SCADA SEN,,
Centro de Control,Instalación,Fecha F/S,Hora F/S
Energía Pacífico,C. Energía Pacífico datos SCADA.,23/06/2020,21:30
Enel Generación,C. Ralco sin datos de temperatura.,04/06/2021,14:00
Colbún,C. Carena datos SCADA.,25/10/2022,06:50
,C. PFV JAMA con informe de limitación. Causa informada: Central presenta problema de reportabilidad,,
Enor Chile,,07/12/2024,10:00
,"de potencia disponible hacia el coordinador, según IL 2024001918.",,
Enor Chile,Minera Mantos blancos datos SCADA F/S.,23/01/2025,12:40
COIESA,S/E Tesoro datos SCADA F/S.,15/05/2025,11:30
ENAP Aconcagua,C. Cogeneradora Aconcagua datos SCADA F/S,23/06/2025,18:12
,Medida LT 110 kV Diego de Almagro - Manto Verde y medidas en 110 kV de S/E Manto Verde se,,
Enlasa,,03/07/2025,16:00
,encuentran con mala calidad,,
,"Datos SCADA correspondiente al lado AT del TR2, asociado a la generación de la Central El Salvador",,
SWC,,03/07/2025,16:00
,se encuentra pegada,,
RNE,S/E Tap Off Nueva Victoria datos SCADA F/S.,21/07/2025,14:34
SUN Power,C. Pataguilla datos SCADA F/S,03/02/2026,14:57
Copelec,S/E Quilmo datos SCADA F/S,04/02/2026,09:08
