0,1,2,3,4,5
,REGULACIÓN DE TENSIÓN SEN,,,,
Centro de Control,Instalación,Fecha F/S,Hora F/S,Fecha E/S,Hora E/S
COIESA,S/E Cumbre CCSS de línea de 500 kV Cumbre - Nueva Cardones 1 y 2.,16/03/2026,06:41,,
Chilquinta,Línea de 220 kV Ciruelos - Cerros de Huichahue 2.,03/03/2026,14:01,,
Chilquinta,Línea de 220 kV Cerros de Huichahue - Pichirropulli 2.,04/03/2026,23:00,,
Interchile,S/E Nueva Pan de Azúcar CCSS de línea de 500 kV Nueva Pan de Azúcar - Polpaico 1 y 2.,16/03/2026,19:32,,
Transelec,Línea de 500 kV Changos - Kimal 2.,04/03/2026,06:57,,
Transelec,Línea de 220 kV Nueva Pichirropulli - Tineo 2.,15/03/2026,09:14,,
Transelec,Línea de 500 kV Alto Jahuel - Ancoa 1.,17/03/2026,00:31,17/03/2026,13:15
Transelec,Línea de 500 kV Entre Ríos - Ancoa 1.,17/03/2026,00:55,17/03/2026,17:44
