0,1
regulatorio  que  correspondía  utilizar  frente  a  trabajos  de  la  naturaleza  descrita  por  la,
"empresa, sin que ello importara anticipar una decisión favorable sobre su procedencia. Lo",
anterior tuvo por único objeto encauzar la solicitud por la vía contemplada en la normativa,
"vigente, a fin de permitir su debida evaluación técnica y operativa.",
"En segundo término, de los antecedentes acompañados por Interchile S.A. se desprende,",
"de manera suficiente, que las solicitudes cumplen con los presupuestos establecidos en el",
"artículo 127 del Reglamento de Coordinación y Operación del Sistema Eléctrico Nacional,",
"aprobado por Decreto Supremo N°125, de 2017, del Ministerio de Energía, por cuanto se",
"trata  de  trabajos  correctivos  de  carácter  urgente,  que  no  pueden  ser  programados  ni",
"postergados  y  que,  de  no  realizarse  oportunamente,  podrían  implicar  un  riesgo  para  la",
continuidad del suministro.,
"En efecto, atendido que la empresa informó la necesidad de ejecutar los trabajos antes del",
"15 de abril de 2026, debido al inicio de condiciones climáticas invernales en el sector de La",
"Dormida con posterioridad a esa fecha, no resulta posible reprogramar su ejecución hacia",
"fechas posteriores, particularmente dentro del período de invierno. En tales circunstancias,",
"este  Coordinador  estimó  que 
las  actividades 
requeridas",revestían  el  carácter  de
impostergables.,
"Del  mismo  modo,  los  antecedentes  técnicos  aportados  por  la  empresa  dan  cuenta  de",
"riesgos  específicos  asociados  al  fenómeno  de  “fretting”,  en  términos  tales  que,  de  no",
"ejecutarse oportunamente los trabajos correctivos requeridos, podría verse comprometida",
"la integridad de la instalación y, con ello, la continuidad del suministro.",
"Sin perjuicio de lo anterior, se hace presente que, de conformidad con lo dispuesto en el",
artículo  84  del  Decreto  Supremo  N°125/2017  y  en  el  Anexo  Técnico,‘Programa  de
"Mantenimiento  Preventivo  Mayor’,  corresponde  a  las  empresas  coordinadas  informar  al",
Coordinador  sus  propuestas  de  programas  de  mantenimiento  preventivo  mayor  para  su,
"evaluación y aprobación. En este caso, los trabajos en cuestión no fueron informados como",
"parte de las actividades a desarrollar durante el año 2025. Por lo mismo, dicha omisión no",
"puede  ser  imputada  a  este  Coordinador,  ni  directa  ni  indirectamente,  toda  vez  que  la",
"obligación  de  definir, 
informar  oportunamente  y  ejecutar","los  mantenimientos 
recae"
exclusivamente en la empresa coordinada.,
"En  tercer  término, respecto  de  la alegación relativa a una  supuesta falta  de trazabilidad,",
cabe señalar que los antecedentes que sirven de fundamento a la evaluación y autorización,
de  los  trabajos  han  sido  incorporados  a  los  respectivos  procesos  y  son  públicos  en  los,
"términos aplicables a su tramitación. Por ello, no resulta efectivo sostener que las empresas",
"coordinadas carezcan de información sobre la existencia, objeto y fundamentos generales",
del mantenimiento autorizado.,
"Asimismo, Acciona incurre en una contradicción al sostener, por una parte, que los trabajos",
no  tendrían carácter  urgente  ni  cumplirían  los  requisitos  para su tramitación  como  curso,
"forzoso  y,  por  otra,  cuestionar  la  suficiencia  de  los  antecedentes  relativos  a  los  riesgos",
"asociados. En efecto, si su planteamiento es que no concurre un riesgo que justifique la",
"solicitud, entonces está formulando una conclusión de fondo; en cambio, si sostiene que",
"faltan  antecedentes  para  pronunciarse  sobre  dicho  riesgo,  entonces  su  objeción  es  de",
